,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,lat,long,NumberofRooms
31,280000.0,2,1.5,1190,1265,3.0,0,0,3,7,47.7274,-122.357,3.5
32,687500.0,4,1.75,2330,5000,1.5,0,0,4,7,47.6823,-122.368,5.75
33,535000.0,3,1.0,1090,3000,1.5,0,0,4,8,47.6889,-122.375,4.0
34,322500.0,4,2.75,2060,6659,1.0,0,0,3,7,47.4276,-122.157,6.75
35,696000.0,3,2.5,2300,3060,1.5,0,0,3,8,47.6827,-122.31,5.5
37,640000.0,4,2.0,2360,6000,2.0,0,0,4,8,47.6702,-122.362,6.0
38,240000.0,4,1.0,1220,8075,1.0,0,0,2,7,47.3341,-122.282,5.0
39,605000.0,4,2.5,2620,7553,2.0,0,0,3,8,47.5301,-122.18,6.5
40,625000.0,4,2.5,2570,5520,2.0,0,0,3,9,47.6145,-122.027,6.5
43,685000.0,3,1.0,1570,2280,2.0,0,0,3,7,47.6413,-122.364,4.0
44,309000.0,3,1.0,1280,9656,1.0,0,0,4,6,47.4485,-122.175,4.0
48,450000.0,3,1.75,1250,5963,1.0,0,0,4,7,47.6796,-122.301,4.75
50,228000.0,3,1.0,1190,9199,1.0,0,0,3,7,47.4258,-122.322,4.0
52,600000.0,3,1.75,1410,4080,1.0,0,0,4,7,47.6808,-122.384,4.75
53,585000.0,2,1.75,1980,8550,1.0,0,0,3,7,47.6989,-122.369,3.75
56,292500.0,4,2.5,2250,4495,2.0,0,0,3,7,47.3663,-122.114,6.5
57,301000.0,3,2.5,2420,4750,2.0,0,0,3,8,47.3663,-122.122,5.5
59,430000.0,4,3.0,1850,9976,2.0,0,0,3,8,47.5059,-122.149,7.0
61,289000.0,3,1.75,1260,8400,1.0,0,0,3,7,47.4366,-122.335,4.75
62,505000.0,3,1.75,2519,8690,2.0,0,0,5,8,47.4428,-122.344,4.75
63,549000.0,3,1.75,1540,1044,3.0,0,0,3,8,47.6765,-122.32,4.75
64,425000.0,3,2.25,1660,6000,1.0,0,0,3,7,47.6113,-122.297,5.25
67,287000.0,4,2.5,2240,4648,2.0,0,0,3,7,47.3378,-122.257,6.5
71,325000.0,3,2.0,1260,5612,1.0,0,0,4,7,47.7362,-122.179,5.0
73,360000.0,4,2.5,2380,5000,2.0,0,0,3,8,47.3608,-122.036,6.5
76,380000.0,4,1.75,1760,7300,1.0,0,0,3,7,47.6034,-122.125,5.75
77,480000.0,3,1.0,1040,5060,1.0,0,0,3,7,47.5636,-122.394,4.0
78,410000.0,3,1.0,1410,5060,1.0,0,0,4,7,47.7073,-122.34,4.0
80,390000.0,3,2.5,2350,5100,2.0,0,0,3,8,47.3512,-122.008,5.5
81,360000.0,4,2.5,1900,5889,2.0,0,0,3,7,47.349,-122.031,6.5
82,355000.0,2,1.0,2020,6720,1.0,0,0,3,7,47.5474,-122.291,3.0
83,356000.0,3,1.5,1680,8712,1.0,0,0,3,8,47.4811,-122.149,4.5
86,305000.0,5,2.25,2660,8400,1.5,0,0,5,7,47.2909,-122.189,7.25
88,215000.0,2,2.25,1610,2040,2.0,0,0,4,7,47.518,-122.194,4.25
89,335000.0,2,1.75,1030,1066,2.0,0,0,3,7,47.5394,-122.387,3.75
90,243500.0,4,2.5,1980,7403,2.0,0,0,3,7,47.2897,-122.372,6.5
92,153000.0,3,1.0,1200,10500,1.0,0,0,3,7,47.322,-122.351,4.0
93,430000.0,3,1.5,1580,5000,1.0,0,0,3,8,47.687,-122.386,4.5
97,199000.0,4,1.5,1160,6400,1.0,0,0,4,7,47.3036,-122.378,5.5
101,555000.0,3,2.0,1980,3478,1.5,0,0,4,7,47.6775,-122.372,5.0
105,375000.0,3,2.5,2340,10005,1.0,0,0,4,8,47.4431,-122.133,5.5
106,460000.0,3,1.0,1670,4005,1.5,0,0,4,7,47.6878,-122.38,4.0
107,188500.0,2,1.75,1240,2493,1.0,0,0,4,8,47.3813,-122.322,3.75
109,470000.0,5,1.75,2030,12342,2.0,0,0,4,7,47.6417,-122.109,6.75
110,597750.0,4,2.5,2310,9624,2.0,0,0,3,8,47.5386,-122.053,6.5
111,570000.0,3,1.75,1260,3328,1.0,0,0,5,6,47.6823,-122.349,4.75
112,272500.0,3,1.75,1540,12600,1.0,0,0,4,7,47.3624,-122.031,4.75
113,329950.0,3,1.75,2080,5969,1.0,0,2,3,7,47.5474,-122.295,4.75
116,518500.0,3,3.5,1590,1102,3.0,0,0,3,8,47.6824,-122.347,6.5
118,171800.0,4,2.0,1570,9600,1.0,0,0,3,6,47.4965,-122.303,6.0
119,535000.0,4,1.0,1610,2982,1.5,0,0,4,7,47.587,-122.294,5.0
120,660000.0,3,2.5,2400,6474,1.0,0,2,3,8,47.7728,-122.386,5.5
121,391500.0,3,2.0,1450,9132,1.0,0,0,3,7,47.7288,-122.226,5.0
123,445000.0,4,1.75,2100,4400,1.5,0,0,5,7,47.5299,-122.266,5.75
126,445000.0,3,2.25,2100,8201,1.0,0,2,3,8,47.5091,-122.244,5.25
127,260000.0,4,2.25,2160,8811,1.0,0,0,3,8,47.3129,-122.39,6.25
129,430000.0,4,2.5,2070,4310,2.0,0,0,3,7,47.5319,-121.85,6.5
130,212000.0,3,1.75,1060,7875,1.0,0,0,4,7,47.2761,-122.152,4.75
131,660500.0,4,2.25,2010,9603,1.0,0,0,3,8,47.5343,-122.054,6.25
133,453246.0,3,2.5,2010,2287,2.0,0,0,3,8,47.5517,-121.998,5.5
134,675000.0,4,3.5,2140,2278,3.0,0,0,3,9,47.6734,-122.38,7.5
136,220000.0,4,1.75,2020,7840,1.0,0,0,3,7,47.3309,-122.299,5.75
137,452000.0,4,2.25,2590,10002,1.0,0,0,4,8,47.7689,-122.266,6.25
138,382500.0,2,1.0,1190,4440,1.0,0,0,3,6,47.7135,-122.287,3.0
139,519950.0,3,2.25,1170,1249,3.0,0,0,3,8,47.6722,-122.381,5.25
140,665000.0,2,1.0,1110,3200,1.0,0,0,3,7,47.6338,-122.358,3.0
142,205000.0,3,1.0,1610,8579,1.0,0,0,4,7,47.4563,-122.171,4.0
143,420000.0,3,1.0,1060,8097,1.0,0,0,4,7,47.7144,-122.351,4.0
144,500000.0,4,2.25,2030,8517,1.0,0,0,4,8,47.5495,-122.174,6.25
148,258000.0,5,2.0,2260,12500,1.0,0,0,4,8,47.3887,-122.286,7.0
149,511000.0,3,1.0,1430,3455,1.0,0,0,3,7,47.6873,-122.336,4.0
150,532170.0,3,2.0,1360,3090,2.0,0,0,3,8,47.6838,-122.353,5.0
151,560000.0,3,1.0,1110,5000,1.5,0,0,3,7,47.655,-122.359,4.0
152,282950.0,3,1.0,1250,8200,1.0,0,0,4,7,47.3255,-122.304,4.0
155,215000.0,3,1.0,1180,7669,1.0,0,0,4,7,47.4479,-122.176,4.0
157,320000.0,4,2.75,2640,7500,1.0,0,0,3,8,47.3135,-122.369,6.75
158,247000.0,3,2.0,1270,7198,1.5,0,0,3,7,47.2086,-121.996,5.0
159,320000.0,4,1.75,1760,11180,1.0,0,0,4,8,47.4715,-122.118,5.75
160,255000.0,5,2.25,2060,8632,1.0,0,0,3,7,47.4877,-122.335,7.25
161,438000.0,3,1.75,1780,9660,1.0,0,0,3,7,47.7171,-122.193,4.75
163,441000.0,3,2.75,1910,7280,1.0,0,0,3,7,47.7319,-122.224,5.75
165,370000.0,3,1.75,1580,7000,1.0,0,0,3,7,47.7209,-122.168,4.75
168,653000.0,3,2.5,2680,9750,1.0,0,0,4,8,47.7028,-122.231,5.5
169,371500.0,3,2.0,1370,8336,1.0,0,0,5,7,47.7458,-122.331,5.0
171,272000.0,3,1.75,2160,7140,1.0,0,0,4,7,47.3026,-122.374,4.75
172,313000.0,3,1.5,1340,7912,1.5,0,0,3,7,47.7658,-122.339,4.5
174,673000.0,4,2.25,2590,8190,2.0,0,0,4,8,47.5619,-122.125,6.25
175,425000.0,3,2.5,1120,1100,2.0,0,0,3,8,47.6106,-122.31,5.5
176,399950.0,5,2.75,1970,5400,1.0,0,0,3,7,47.5868,-122.308,7.75
177,385000.0,3,1.0,1220,4800,1.0,0,0,3,6,47.6101,-122.307,4.0
178,269950.0,3,1.5,1950,7560,1.0,0,2,4,7,47.1976,-121.999,4.5
179,330000.0,2,1.0,1350,8220,1.0,0,0,3,7,47.7224,-122.358,3.0
180,260000.0,3,2.5,1670,5797,2.0,0,0,3,7,47.3505,-122.179,5.5
181,470000.0,4,3.0,2380,5125,1.5,0,0,4,7,47.5384,-122.376,7.0
182,589000.0,4,3.0,2440,9600,2.0,0,0,5,7,47.7044,-122.2,7.0
183,163500.0,2,1.5,1050,3419,2.0,0,0,3,7,47.3848,-122.039,3.5
186,269000.0,4,1.75,1490,10000,1.0,0,0,4,8,47.3099,-122.379,5.75
187,560000.0,3,2.5,1900,8744,2.0,0,0,3,8,47.62,-122.043,5.5
188,615000.0,4,1.0,1330,2400,1.5,0,0,4,6,47.65,-122.34,5.0
189,585188.0,3,2.25,2230,10026,1.0,0,0,3,8,47.6647,-122.153,5.25
190,305000.0,3,1.75,1650,9480,1.0,0,0,3,7,47.726,-122.191,4.75
191,166950.0,3,1.0,1190,8820,1.0,0,0,3,6,47.4616,-122.184,4.0
193,400000.0,3,2.5,2180,7508,1.0,0,0,4,7,47.7606,-122.336,5.5
194,230000.0,3,1.0,1060,10228,1.0,0,0,3,7,47.7481,-122.3,4.0
195,256883.0,3,2.5,1690,5025,2.0,0,0,3,8,47.2779,-122.347,5.5
196,423000.0,4,2.0,1970,6480,1.5,0,0,5,7,47.5511,-122.312,6.0
197,465000.0,3,2.5,2150,4084,2.0,0,0,3,8,47.5488,-122.372,5.5
201,297000.0,3,2.5,1940,14952,2.0,0,0,3,8,47.3777,-122.165,5.5
203,226500.0,3,1.5,1300,7370,1.0,0,0,4,7,47.3025,-122.37,4.5
206,677900.0,3,2.5,2440,4587,2.0,0,0,3,8,47.7073,-122.114,5.5
209,464000.0,6,3.0,2300,3404,2.0,0,0,3,7,47.7067,-122.343,9.0
210,320000.0,4,2.25,1550,7579,2.0,0,0,3,8,47.354,-122.047,6.25
211,625504.0,3,2.25,1270,1566,2.0,0,0,3,8,47.6647,-122.284,5.25
212,592500.0,4,2.5,2240,12032,1.0,0,0,3,9,47.6143,-122.017,6.5
214,477000.0,4,2.75,1720,6270,2.0,0,0,3,8,47.5458,-122.268,6.75
217,445838.0,3,2.5,2250,5692,2.0,0,0,3,8,47.5133,-122.379,5.5
219,467000.0,2,1.5,1320,10800,1.0,0,0,4,8,47.7145,-122.367,3.5
221,279950.0,3,2.0,1750,9750,1.0,0,0,3,7,47.398,-122.299,5.0
224,328000.0,3,2.25,2020,8379,2.0,0,0,3,7,47.3828,-122.023,5.25
225,390000.0,3,2.25,1250,7500,1.0,0,0,5,7,47.5123,-122.373,5.25
226,479950.0,2,2.0,1510,6516,1.0,0,0,3,8,47.7076,-122.013,4.0
227,264950.0,4,2.25,1720,9753,1.0,0,0,4,7,47.2922,-122.371,6.25
229,516500.0,3,2.5,1480,4729,2.0,0,0,3,7,47.6794,-122.034,5.5
234,475000.0,3,1.5,2480,5280,1.5,0,0,5,7,47.5575,-122.303,4.5
237,410000.0,4,1.0,1970,4740,1.5,0,0,3,7,47.6136,-122.303,5.0
240,225000.0,3,1.75,1430,8505,1.0,0,0,4,7,47.3173,-122.319,4.75
242,455000.0,2,1.0,1430,5000,1.5,0,0,2,7,47.6727,-122.299,3.0
243,225000.0,3,1.0,1300,8316,1.0,0,0,4,6,47.3221,-122.216,4.0
244,480000.0,2,1.0,1030,3060,1.0,0,2,4,7,47.6779,-122.353,3.0
248,250000.0,4,2.0,2010,7312,1.0,0,0,4,7,47.2785,-122.213,6.0
249,481000.0,3,1.75,1560,3000,1.0,0,0,4,6,47.6846,-122.345,4.75
250,260000.0,3,2.0,1810,7209,1.0,0,0,4,7,47.3656,-122.278,5.0
253,349500.0,3,1.0,1400,3538,1.0,0,0,3,7,47.5405,-122.27,4.0
254,245000.0,3,2.5,1730,7442,2.0,0,0,3,7,47.3507,-122.178,5.5
255,592500.0,2,2.0,1420,9191,1.5,0,2,5,7,47.6979,-122.32,4.0
256,385000.0,4,1.75,2360,7620,1.0,0,0,4,7,47.5278,-122.345,5.75
257,315000.0,3,1.75,1580,11455,1.0,0,0,4,7,47.4756,-122.147,4.75
258,255000.0,3,1.0,1230,10170,1.0,0,0,3,7,47.4437,-121.772,4.0
259,693000.0,4,2.5,2460,4425,2.0,0,0,3,8,47.7048,-122.109,6.5
261,237000.0,3,1.75,1270,8470,1.0,0,0,4,7,47.4207,-122.29,4.75
265,290000.0,4,2.5,1700,7280,2.0,0,0,4,7,47.4045,-122.171,6.5
266,285000.0,3,1.0,1120,10701,1.0,0,0,3,7,47.5544,-122.358,4.0
267,415000.0,2,1.0,1070,4500,1.0,0,0,3,7,47.6802,-122.29,3.0
268,272500.0,3,2.5,2070,9900,1.0,0,0,3,8,47.2988,-122.371,5.5
271,436000.0,2,1.0,1040,7538,1.0,0,0,4,7,47.7107,-122.352,3.0
272,210000.0,3,1.0,1700,11390,1.0,0,0,4,7,47.3271,-122.323,4.0
273,236000.0,3,1.0,1300,5898,1.0,0,0,3,7,47.5053,-122.255,4.0
274,331000.0,3,1.75,1080,1306,1.0,0,0,3,7,47.6601,-122.4,4.75
275,365000.0,3,2.5,2653,4510,2.0,0,0,3,8,47.4145,-122.166,5.5
279,405000.0,3,1.75,2390,6000,1.0,0,0,3,6,47.5362,-122.268,4.75
280,304900.0,4,1.75,2600,11325,1.0,0,0,4,7,47.3954,-122.206,5.75
284,330000.0,3,3.0,2420,13959,1.0,0,0,4,8,47.7486,-122.23,6.0
286,467000.0,5,2.25,2500,13500,1.0,0,0,3,7,47.7564,-122.144,7.25
287,405000.0,3,1.75,1670,6720,1.0,0,0,3,7,47.7198,-122.193,4.75
289,500000.0,2,1.0,1640,14100,1.0,0,0,4,7,47.5712,-122.143,3.0
292,360000.0,4,2.5,2160,9528,2.0,0,0,3,9,47.3341,-122.255,6.5
294,550000.0,3,2.0,1970,4166,2.0,0,3,5,8,47.5717,-122.375,5.0
296,265000.0,3,2.0,1320,8959,1.0,0,0,3,7,47.3536,-122.144,5.0
297,446500.0,3,2.5,2650,7286,2.0,0,0,3,8,47.5084,-122.154,5.5
298,404000.0,3,1.5,2030,8880,1.0,0,0,3,7,47.5586,-122.311,4.5
299,267500.0,3,1.75,1590,11914,1.0,0,2,3,7,47.4427,-122.274,4.75
301,335000.0,3,2.5,2440,7632,2.0,0,0,3,8,47.3494,-122.301,5.5
302,576000.0,3,2.5,1940,9000,1.0,0,0,4,7,47.6933,-122.393,5.5
303,208633.0,3,2.5,2040,3810,2.0,0,0,3,8,47.3537,-122.0,5.5
304,315000.0,3,2.25,2200,8750,1.0,0,0,4,7,47.476,-122.337,5.25
306,550000.0,4,2.75,1800,7750,1.0,0,0,4,8,47.7776,-122.384,6.75
307,610750.0,4,2.25,2180,7297,2.0,0,0,3,8,47.6459,-122.058,6.25
315,305000.0,4,2.25,1950,7700,1.0,0,0,3,8,47.4441,-122.125,6.25
316,487000.0,3,2.0,2590,14052,1.0,0,0,5,8,47.7357,-122.333,5.0
318,548000.0,2,1.0,1470,3864,1.0,0,0,4,7,47.6638,-122.345,3.0
322,230000.0,3,2.0,1450,11204,1.0,0,0,3,7,47.2639,-122.252,5.0
323,240000.0,3,1.75,1510,10248,1.0,0,0,3,7,47.2929,-122.371,4.75
324,232000.0,2,1.0,1240,12092,1.0,0,0,3,6,47.4957,-122.352,3.0
325,240500.0,2,1.0,1240,12092,1.0,0,0,3,6,47.4957,-122.352,3.0
331,279000.0,6,1.75,2240,11180,2.0,0,0,4,7,47.42,-122.323,7.75
332,295000.0,3,2.0,1810,10530,1.0,0,2,3,8,47.1913,-122.012,5.0
333,640000.0,2,1.0,1070,5000,1.0,0,0,3,7,47.6666,-122.331,3.0
335,260000.0,4,2.5,1960,5238,2.0,0,0,3,7,47.3483,-122.052,6.5
338,265000.0,3,1.75,1420,8250,1.0,0,0,3,7,47.7535,-122.354,4.75
339,245000.0,3,1.75,1740,11547,1.0,0,0,3,7,47.4945,-122.22,4.75
342,425000.0,3,1.75,2500,6840,1.0,0,0,3,8,47.7222,-122.32,4.75
344,552250.0,4,2.5,2580,5823,2.0,0,0,3,8,47.5374,-121.875,6.5
348,206600.0,3,2.0,1390,13464,1.0,0,0,4,7,47.3581,-122.173,5.0
349,387000.0,4,1.75,2500,7690,1.0,0,0,3,7,47.7713,-122.307,5.75
352,315000.0,3,1.0,1900,14400,1.0,0,0,4,7,47.4147,-122.337,4.0
355,375000.0,4,1.75,2200,7475,1.0,0,0,5,7,47.543,-122.28,5.75
356,300000.0,4,2.5,1910,4862,2.0,0,0,3,7,47.3607,-122.034,6.5
357,420000.0,4,1.0,1750,9600,1.5,0,0,4,7,47.5759,-122.137,5.0
359,679900.0,3,2.5,2440,5750,2.0,0,2,3,9,47.565,-122.381,5.5
362,329500.0,4,2.5,1820,7912,2.0,0,0,3,7,47.3845,-122.029,6.5
363,604950.0,3,2.5,2110,5608,1.0,0,0,3,8,47.6743,-122.184,5.5
369,338000.0,4,3.0,2090,7500,1.0,0,0,3,7,47.4888,-122.182,7.0
370,280000.0,3,2.25,1430,7222,2.0,0,0,3,7,47.5112,-122.19,5.25
371,315000.0,4,2.25,2180,10754,1.0,0,0,5,7,47.7711,-122.341,6.25
372,530000.0,4,2.25,2180,10754,1.0,0,0,5,7,47.7711,-122.341,6.25
374,297000.0,3,2.25,1450,7562,2.0,0,0,3,7,47.5038,-122.189,5.25
376,450000.0,3,1.75,1640,13500,1.0,0,0,3,7,47.7164,-122.304,4.75
377,275000.0,3,3.0,1590,7750,1.0,0,0,3,7,47.3624,-122.045,6.0
378,595000.0,4,2.0,2020,2849,2.0,0,0,3,7,47.6831,-122.329,6.0
379,435000.0,3,1.5,1300,3348,1.5,0,0,3,7,47.592,-122.307,4.5
382,389000.0,4,2.25,2130,5337,2.0,0,0,3,7,47.7237,-121.959,6.25
383,560000.0,4,2.25,2550,7800,1.0,0,0,3,8,47.6283,-122.095,6.25
386,365500.0,3,2.0,1410,9600,1.0,0,0,4,7,47.7591,-122.146,5.0
387,252350.0,3,2.0,1650,7352,1.0,0,0,3,7,47.4612,-122.169,5.0
388,403950.0,4,2.5,2120,13780,2.0,0,0,3,8,47.4987,-122.365,6.5
389,385000.0,4,1.5,2040,10726,1.0,0,0,3,7,47.772,-122.358,5.5
390,345000.0,4,1.0,1550,7620,1.5,0,0,3,7,47.5287,-122.35,5.0
391,490000.0,3,2.75,1980,3128,2.0,0,0,4,9,47.6109,-122.114,5.75
395,330000.0,2,1.0,1220,10000,1.0,0,0,5,7,47.7405,-122.241,3.0
398,378750.0,3,2.5,2160,3000,1.5,0,0,3,7,47.5644,-122.289,5.5
399,269900.0,4,1.75,1530,8750,1.5,0,0,4,7,47.4556,-122.157,5.75
400,557000.0,3,3.5,1710,2096,2.0,0,0,3,8,47.6055,-122.305,6.5
404,322500.0,4,2.5,1820,6753,2.0,0,0,3,7,47.3845,-122.032,6.5
405,650000.0,3,3.25,1510,2000,2.0,0,0,3,9,47.5815,-122.402,6.25
406,450000.0,3,2.0,1290,1213,3.0,0,0,3,8,47.6609,-122.344,5.0
407,278500.0,3,2.0,1570,5250,1.0,0,0,3,7,47.3163,-122.188,5.0
408,364950.0,4,2.5,1930,6957,2.0,0,0,3,8,47.4309,-122.191,6.5
410,268000.0,3,2.5,1550,8134,2.0,0,0,3,7,47.404,-122.191,5.5
413,577500.0,3,2.5,2000,7251,2.0,0,0,3,9,47.7067,-122.2,5.5
414,339000.0,4,1.5,2390,7480,1.5,0,2,3,7,47.504,-122.227,5.5
417,423000.0,4,2.25,2200,9351,1.0,0,0,5,7,47.7448,-122.333,6.25
418,355000.0,3,2.25,1860,5028,2.0,0,0,3,8,47.7318,-121.982,5.25
421,625000.0,3,1.75,1600,9135,1.0,0,0,5,7,47.5724,-122.179,4.75
422,538000.0,3,2.5,2250,11632,2.0,0,0,3,8,47.5272,-122.169,5.5
423,380000.0,3,2.5,2280,10255,2.0,0,0,4,8,47.4334,-122.161,5.5
425,245000.0,3,2.5,1530,8500,1.0,0,0,5,7,47.3592,-122.046,5.5
428,397000.0,4,2.0,1440,7680,1.0,0,0,3,7,47.7245,-122.2,6.0
429,365000.0,3,2.5,2200,4052,2.0,0,0,3,8,47.4362,-122.178,5.5
430,328500.0,4,3.0,2290,8250,2.0,0,0,3,9,47.3739,-122.156,7.0
433,237000.0,3,2.5,1490,2138,2.0,0,0,3,7,47.4324,-122.197,5.5
434,525000.0,4,2.5,2450,5280,2.0,0,0,3,8,47.7734,-122.224,6.5
438,438000.0,2,2.0,1270,1372,3.0,0,0,3,8,47.6776,-122.318,4.0
439,578000.0,3,1.75,2120,10875,1.0,0,2,3,8,47.504,-122.382,4.75
440,227950.0,3,1.5,1670,8230,1.0,0,0,5,7,47.2613,-122.255,4.5
441,196000.0,3,2.25,2070,11576,2.0,0,0,3,7,47.3417,-122.271,5.25
442,641000.0,2,1.0,1420,5332,1.0,0,0,3,8,47.6694,-122.275,3.0
445,400000.0,3,1.75,1920,9102,1.0,0,0,3,7,47.7487,-122.082,4.75
447,505000.0,3,2.0,1260,5460,1.0,0,0,3,7,47.7355,-122.18,5.0
448,475000.0,5,2.5,2340,7200,1.0,0,0,3,7,47.7206,-122.211,7.5
449,520000.0,3,2.25,2590,9263,1.0,0,0,5,8,47.7691,-122.262,5.25
451,333500.0,3,1.75,1220,9732,1.0,0,0,3,7,47.7736,-122.214,4.75
452,232000.0,3,1.0,1400,10403,1.0,0,0,4,6,47.362,-122.029,4.0
456,496500.0,3,2.5,2260,3640,2.0,0,0,3,8,47.7356,-122.157,5.5
459,255000.0,3,1.75,1240,8659,1.0,0,0,5,7,47.3663,-122.089,4.75
461,348000.0,3,2.25,2570,8491,2.0,0,0,4,8,47.3759,-122.125,5.25
462,230000.0,3,2.0,1510,3413,2.0,0,0,3,7,47.3912,-122.167,5.0
463,359500.0,4,2.25,2390,11250,2.0,0,0,3,9,47.3305,-122.371,6.25
466,465000.0,3,1.75,1480,6360,1.0,0,0,3,7,47.7311,-122.353,4.75
467,325000.0,4,2.5,1850,7324,2.0,0,0,3,8,47.3701,-122.107,6.5
469,342500.0,3,2.5,1810,5192,2.0,0,0,3,8,47.3724,-122.042,5.5
475,520000.0,4,2.25,1890,3006,2.0,0,0,3,7,47.5461,-121.998,6.25
476,460000.0,3,2.5,1610,2527,2.0,0,2,3,9,47.5674,-122.29,5.5
477,438924.0,3,1.5,1050,4590,1.0,0,0,3,7,47.6943,-122.29,4.5
480,378500.0,4,1.75,1700,8640,1.0,0,0,3,7,47.5772,-122.153,5.75
481,328500.0,3,2.5,1950,8130,2.0,0,0,4,9,47.3875,-122.161,5.5
483,525000.0,3,1.5,1350,6000,1.0,0,2,3,7,47.5275,-122.391,4.5
485,295000.0,4,2.5,2160,7725,1.0,0,0,4,8,47.3078,-122.378,6.5
490,452000.0,4,1.5,1580,7350,1.0,0,0,4,7,47.6734,-122.154,5.5
491,370000.0,3,2.0,1680,5036,1.0,0,1,4,7,47.4734,-122.186,5.0
492,232000.0,3,1.75,1300,11230,1.0,0,0,5,7,47.3811,-122.087,4.75
494,397500.0,3,2.0,1510,6710,1.0,0,0,3,7,47.7193,-122.216,5.0
495,490000.0,2,2.5,1230,1391,2.0,0,0,3,8,47.6192,-122.301,4.5
498,625000.0,2,1.5,1490,5750,1.5,0,0,4,7,47.5872,-122.39,3.5
499,437500.0,3,2.5,2120,4500,2.0,0,0,3,7,47.5322,-121.88,5.5
501,475000.0,2,1.0,1490,3825,1.0,0,0,3,7,47.6799,-122.381,3.0
502,342000.0,3,2.0,1930,11947,1.0,0,0,4,8,47.3672,-122.151,5.0
504,280000.0,3,1.5,1670,11610,1.0,0,0,4,7,47.4404,-122.191,4.5
505,240000.0,2,1.75,1330,7200,1.0,0,0,3,7,47.4467,-122.281,3.75
506,529000.0,3,1.0,1210,3328,1.5,0,0,4,7,47.6729,-122.363,4.0
507,442000.0,3,1.0,1190,5100,1.0,0,0,4,7,47.5346,-122.385,4.0
508,615000.0,2,1.0,1540,6872,1.0,0,0,4,7,47.6454,-122.373,3.0
510,585000.0,4,1.75,2430,7559,1.0,0,0,4,8,47.7206,-122.11,5.75
511,480000.0,4,2.5,2600,7787,2.0,0,0,3,8,47.4877,-122.139,6.5
513,290000.0,4,1.0,1330,8184,1.5,0,0,3,7,47.7343,-122.347,5.0
514,615000.0,3,1.75,1900,5000,1.0,0,0,5,7,47.5789,-122.393,4.75
515,300000.0,2,1.0,1100,7680,1.0,0,0,4,7,47.7439,-122.339,3.0
520,288000.0,3,1.0,1190,7560,1.0,0,0,5,6,47.452,-122.177,4.0
522,515000.0,5,3.0,2530,5105,1.0,0,0,3,8,47.7546,-122.341,8.0
528,365000.0,4,1.0,1590,7085,1.5,0,0,3,6,47.7315,-122.305,5.0
530,270500.0,3,2.5,1780,7848,1.0,0,0,3,7,47.3608,-122.056,5.5
531,200000.0,2,1.5,1360,1898,2.0,0,0,3,7,47.2852,-122.19,3.5
534,204000.0,3,1.0,1040,7405,1.0,0,0,4,6,47.3105,-122.021,4.0
535,358000.0,3,2.25,1610,6655,2.0,0,0,4,7,47.4296,-122.161,5.25
536,452000.0,4,1.75,1570,8268,1.0,0,0,3,7,47.7373,-122.197,5.75
537,595000.0,2,2.0,1510,4000,1.0,0,0,4,7,47.6582,-122.345,4.0
538,249000.0,3,2.0,1360,6082,1.0,0,0,3,7,47.3577,-122.16,5.0
